"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgmagazines_mag_bolts_quiver0","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver","$UNT$Bolts Quiver",

"str_iz_cfgmagazines_mag_arrows_quiver1","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.","$UNT$A container for arrows.",
"str_iz_cfgmagazines_mag_arrows_quiver0","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver","$UNT$Arrows Quiver",

"str_iz_cfgmagazines_mag_akm_palm30rnd_green0","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A green painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.",
"str_iz_cfgmagazines_mag_akm_palm30rnd_black0","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.","$UNT$A black painted aftermarket 30 round magazine for AK type assault rifles, 7.62x39 mm.",

"str_iz_cfgmagazines_mag_akm_drum75rnd_green0","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.","$UNT$A green painted 75 round drum magazine for AKM.",
"str_iz_cfgmagazines_mag_akm_drum75rnd_black0","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.","$UNT$A black painted 75 round drum magazine for AKM.",

"str_iz_cfgmagazines_mag_762x54snaploader_2rnd1","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.","$UNT$A snaploader for a double rifle.",
"str_iz_cfgmagazines_mag_762x54snaploader_2rnd0","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader","$UNT$Snaploader",

"str_iz_cfgmagazines_mag_357speedloader_6rnd1","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.","$UNT$A speedloader for .357 rounds.",
"str_iz_cfgmagazines_mag_357speedloader_6rnd0","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader","$UNT$.357 Speedloader",

"str_iz_cfgmagazines_mag_308winsnaploader_2rnd1","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.","$UNT$A snaploader for double rifle.",
"str_iz_cfgmagazines_mag_308winsnaploader_2rnd0","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader","$UNT$B95 Snaploader",

"str_iz_cfgmagazines_mag_12gasnaploader_2rnd1","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.","$UNT$A snaploader for 12ga shells.",
"str_iz_cfgmagazines_mag_12gasnaploader_2rnd0","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader","$UNT$12ga Snap Loader",

"str_iz_cfgvehicles_flarespraybomb1","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade","$UNT$Improvised grenade",
"str_iz_cfgvehicles_flarespraybomb0","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade","$UNT$Improvised Grenade",



"str_iz_cfgvehicles_rdg2smokegrenade_colorbase0","RDG-2 Smoke Grenade","RDG-2 Smoke Grenade","Dýmový granát RDG-2","RDG-2-Rauchgranate","Дым. граната RDG-2","Granat dymny RDG-2","RDG-2 Smoke Grenade","Granata fumogena RDG-2","Granada de humo RDG-2","Grenade fumigène RDG-2","RDG-2 煙霧手榴彈","RDG-2 発煙弾","RDG-2 Smoke Grenade","RDG-2 烟雾弹",
"str_iz_cfgvehicles_rdg2smokegrenade_colorbase1","Smoke grenade used by eastern forces. Simple, yet effective at providing cover or marking positions.","Smoke grenade used by eastern forces. Simple, yet effective at providing cover or marking positions.","Dýmový granát používaný východními vojsky. Prostý a efektivní ke krytí nebo k označování pozic.","Rauchgranate, die von östlichen Streitkräften eingesetzt wird. Simpel und doch effektiv, um Deckung zu geben oder Positionen zu markieren.","Дымовая граната, применяемая восточными войсками. Простая, но при этом эффективная для обеспечения прикрытия и указания позиций.","Granat dymny używany przez siły wschodnie. Prosty w użyciu, ale przydatny do tworzenia osłony albo oznaczania pozycji.","Smoke grenade used by eastern forces. Simple, yet effective at providing cover or marking positions.","Granata fumogena utilizzata dalle forze orientali. Semplice ma efficace nel fornire copertura o contrassegnare le posizioni.","Granada de humo usada por las tropas orientales. Es sencilla pero efectiva a la hora de ofrecer cobertura o marcar posiciones.","Grenade fumigène en usage chez les forces de l'Est. Pour se cacher ou signaler une position à un allié.","東軍使用的煙霧手榴彈。簡單而有效地製造掩護效果或標記地區。","東部軍によって使用される発煙弾。目くらましをしたり位置をマーキングしたりする時に役立つ、シンプルかつ効果的な道具。","Smoke grenade used by eastern forces. Simple, yet effective at providing cover or marking positions.","东方部队使用的烟雾弹。简单，但可有效提供掩护或标记位置。",

"str_iz_cfgvehicles_m67grenade0","M67 Frag Grenade","M67 Frag Grenade","Tříštivý granát M67","M67-Splittergranate","Оск. граната M67","Granat odłamkowy M67","M67 Frag Grenade","Granata a frammentazione M67","Granada de fragmentación M67","Grenade M67","M67 破片手榴彈","M67 破砕性手榴弾","M67 Frag Grenade","M67 碎片手榴弹",
"str_iz_cfgvehicles_m67grenade1","Fragmentation grenade type used by western forces. It is lethal in small radius, but it can cause serious injuries at medium ranges.","Fragmentation grenade type used by western forces. It is lethal in small radius, but it can cause serious injuries at medium ranges.","Typ tříštivého granátu používaný západními vojsky. Na krátkou vzdálenost je smrtící, ale vážná zranění dokáže způsobit i na střední vzdálenosti.","Art von Splittergranate, die von westlichen Streitkräften eingesetzt wird. Tödlich in einem geringen Radius aber sehr gefährlich bis auf mittlere Distanz.","Осколочная граната, применяемая западными войсками. Может приводить к серьезным травмам на среднем расстоянии и летальна на близком.","Granat odłamkowy używany przez siły zachodnie. W małym promieniu zabójczy, w większym ma potencjał do poważnego okaleczenia.","Fragmentation grenade type used by western forces. It is lethal in small radius, but it can cause serious injuries at medium ranges.","Granata a frammentazione usata dalle forze occidentali. È letale a corto raggio ma può causare gravi danni a medie distanze.","Una granada de fragmentación utilizada por las tropas occidentales. Es letal en un pequeño radio de acción, aunque puede causar heridas graves también a media distancia.","Grenade à fragmentation en usage chez les forces de l'Ouest. Mortelle dans un rayon proche, elle cause de graves blessures à moyenne portée.","西軍使用的破片手榴彈。在小範圍內造成致命威脅，在中距離內造成嚴重損傷。","西部軍によって使用される破砕性手榴弾タイプ。短距離では致死的で、中距離でも重傷を負わすことができる。","Fragmentation grenade type used by western forces. It is lethal in small radius, but it can cause serious injuries at medium ranges.","西方部队使用的碎片式手榴弹。杀伤半径小，但在中等距离内可致重伤。",

"str_iz_cfgvehicles_m18smokegrenade_colorbase0","M18 Smoke Grenade","M18 Smoke Grenade","Dýmový granát M18","M18-Rauchgranate","Дым. граната M18","Granat dymny M18","M18 Smoke Grenade","Granata fumogena M18","Granada de humo M18","Grenade fumigène M18","M18 煙霧手榴彈","M18 発煙弾","M18 Smoke Grenade","M18 烟雾弹",
"str_iz_cfgvehicles_m18smokegrenade_colorbase1","Smoke grenade used by western forces. Comes in many different colors, it can provide cover or mark positions.","Smoke grenade used by western forces. Comes in many different colors, it can provide cover or mark positions.","Dýmový granát používaný západními vojsky. Dostupný v mnoha různých barvách. Hodí se, když je třeba se krýt nebo označit pozici.","Rauchgranate, die von westlichen Streitkräften eingesetzt wird. In mehreren Farben erhältlich. Kann Deckung geben oder Positionen markieren.","Дымовая граната, применяемая западными войсками. Дым может быть разного цвета. Может использоваться для прикрытия и указания позиции.","Granat dymny używany przez siły zachodnie. Dostępny w różnych kolorach. Może służyć do stworzenia osłony albo do oznaczenia pozycji.","Smoke grenade used by western forces. Comes in many different colors, it can provide cover or mark positions.","Granata fumogena utilizzata dalle forze occidentali. È disponibile in molti colori diversi ed è utile nel fornire copertura o contrassegnare le posizioni.","Granada de humo usada por las tropas occidentales. Las hay de varios colores y ofrecen cobertura o marcan posiciones.","Grenade fumigène des forces de l'Ouest. Disponible en différentes couleurs, la fumée cache ou signale une position.","西軍使用的煙霧手榴彈。具有多種顏色，能製造掩護效果或標記地區。","西部軍によって使用される発煙弾。様々な色のものがあり、目くらましをしたり位置をマーキングしたりする時に役立つ。","Smoke grenade used by western forces. Comes in many different colors, it can provide cover or mark positions.","西方部队使用的烟雾弹。采用许多不同的颜色，可提供掩护或标记位置。",

"str_iz_cfgvehicles_flashgrenade0","M84 Flashbang","M84 Flashbang","Zábleskový granát M84","M84-Blendgranate","Светошум. граната M84","Granat błyskowo-hukowy M84","M84 Flashbang","Granata stordente M84","Granada cegadora M84","Flashbang M84","M84 閃光彈","M84 スタン手榴弾","M84 Flashbang","M84 闪光弹",
"str_iz_cfgvehicles_flashgrenade1","Stun grenade used to temporarily overload senses of the enemy combatant, leaving them disoriented and vulnerable.","Stun grenade used to temporarily overload senses of the enemy combatant, leaving them disoriented and vulnerable.","Omračující granát používaný k dočasnému ochromení smyslů nepřítele, který pak bude dezorientovaný a zranitelný.","Blendgranate, die bei feindlichen Streitkräften für eine Reizüberflutung sorgt und sie dadurch desorientiert und angreifbar macht.","Светошумовая граната, применяемая для дезориентации противника, что делает его уязвимым.","Granat ogłuszający służy do chwilowego przeciążenia zmysłów przeciwnika, co powoduje dezorientację ofiary i sprawia, że staje się ona łatwiejszym celem.","Stun grenade used to temporarily overload senses of the enemy combatant, leaving them disoriented and vulnerable.","Granata stordente utilizzata per sovraccaricare temporaneamente i sensi del combattente nemico, disorientandolo e rendendolo vulnerabile.","Granada aturdidora que sobrecarga temporalmente los sentidos del combatiente enemigo para dejarlo desorientado y vulnerable.","Grenade incapacitante visant à désorienter l'ennemi avec un flash lumineux et une impulsion sonore.","震撼手榴彈，作用是暫時震攝敵方戰鬥員的感官，使對方迷失方向感並變得衰弱。","敵の視覚や聴覚に一時的に過負荷をかけるのに使われるスタン擲弾。敵に方向感覚を失わせたり、無防備な状態にしたりするのに役立つ。","Stun grenade used to temporarily overload senses of the enemy combatant, leaving them disoriented and vulnerable.","震撼弹，用于暂时重创敌军作战人员的感官，使其失去方向感，易受攻击。",
